ProcessId,ProcessName,PackageName,EnvironmentName,FullyQualifiedName,CountExecuting,CountPending,CountSuspended,CountResumed,CountSuccessful,CountErrors,CountStopped,AverageDurationInSeconds,AveragePendingTimeInSeconds,TotalRows,EntityId
437,[Manual] POD_SwiftDocumentClassification_Windows,POD_SwiftDocumentClassification_Windows,NULL,POD/Incoming Swift,0,0,0,0,0,0,0,NULL,NULL,213,437
305,ALM.Corefund,ALM.Corefund,NULL,SCC-Main/ALM,0,0,0,0,0,0,0,NULL,NULL,213,305
304,ALM.NeracaHarian,ALM.NeracaHarian,NULL,SCC-Main/ALM,0,0,0,0,0,0,0,NULL,NULL,213,304
314,BND.EDCRelocation,BND.EDCRelocation,NULL,BND,0,0,0,0,0,0,0,NULL,NULL,213,314
315,BND.EDCRelocation,BND.EDCRelocation,NULL,BBD,0,0,0,0,0,0,0,NULL,NULL,213,315
81,BND.ResetPasswordAgentBRILink,BND.ResetPasswordAgentBRILink,NULL,BBD,0,0,0,0,0,0,0,NULL,NULL,213,81
82,BND.ResetPasswordAgentBRILink.DailyReport,BND.ResetPasswordAgentBRILink.DailyReport,NULL,BBD,0,0,0,0,0,0,0,NULL,NULL,213,82
284,BRI_PengkinianDataPadan_CheckStatus,BRI_PengkinianDataPadan_CheckStatus,NULL,EDM-M/Maintenance_Massal,0,0,0,0,0,0,0,NULL,NULL,213,284
283,BRI_PengkinianDataPadan_UploadDokumen,BRI_PengkinianDataPadan_UploadDokumen,NULL,EDM-M/Maintenance_Massal,0,0,0,0,19,0,113,441,0,213,283
351,BRI_Project22-01_CriticalReportProcessing,BRI_Project22-01_CriticalReportProcessing,NULL,ASQ,0,0,0,0,0,0,0,NULL,NULL,213,351
309,Card Closing,BRI_Close_Card,NULL,CDD-M-Replace&CloseCard,0,0,0,0,0,0,0,NULL,NULL,213,309
310,Card Replacing,BRI_Replace_Card,NULL,CDD-M-Replace&CloseCard,0,0,0,0,0,0,0,NULL,NULL,213,310
235,CDD - Analysis for Credit Card Application,Analysis.for.Credit.Card.Application,NULL,CDD-M CIN/Verification CC,0,0,0,0,0,0,0,NULL,NULL,213,235
94,CDD - Analysis for Credit Card Application,Analysis.for.Credit.Card.Application,NULL,CDD-M/CIN-Verification-CC,0,0,0,0,0,0,0,NULL,NULL,213,94
407,CDD.Biaya.Increase.Limit,CDD.Biaya.Increase.Limit,NULL,CDD-M/CDD-BiayaIncreaseLimit,0,0,0,0,0,0,0,NULL,NULL,213,407
226,CDD.Close.Card.M,CDD.Close.Card.M,NULL,CDD-Main/CDD-CloseAndReplaceCard,0,0,0,0,0,0,0,NULL,NULL,213,226
67,CDD.CustService.CreatePDFCloseCC,CDD.CustService.CreatePDFCloseCC,NULL,CDD-M/CS-Closing-Statement,0,0,0,0,0,0,0,NULL,NULL,213,67
169,CDD.CustService.RetryUploadBRICare,CDD.CustService.RetryUploadBRICare,NULL,CDD-M/CS-Closing-Statement,0,0,0,0,0,0,0,NULL,NULL,213,169
192,CDD.DailyReportPerformance.BRIGUNA,CDD.DailyReportPerformance.BRIGUNA,NULL,CDD-M/Daily Report,0,0,0,0,0,0,0,NULL,NULL,213,192
191,CDD.DailyReportPerformance.CC,CDD.DailyReportPerformance.CC,NULL,CDD-M/Daily Report,0,0,0,0,0,0,0,NULL,NULL,213,191
193,CDD.DailyReportPerformance.KPR,CDD.DailyReportPerformance.KPR,NULL,CDD-M/Daily Report,0,0,0,0,0,0,0,NULL,NULL,213,193
396,CDD.DRP.RO_Selindo,CDD.DRP.ROSelindo,NULL,CDD-M/DailyReport-RO_Selindo,0,0,0,0,0,0,0,NULL,NULL,213,396
175,CDD.MaintenanceCIF.CreateTicket,CDD.MaintenanceCIF.CreateTicket,NULL,CDD-M/Maintenance CIF,0,0,0,0,0,0,0,NULL,NULL,213,175
176,CDD.MaintenanceCIF.UpdateAddress,CDD.MaintenanceCIF.UpdateAddress,NULL,CDD-M/Maintenance CIF,0,0,0,0,0,0,0,NULL,NULL,213,176
261,CDD.MSU.CicilanBRICare.CreateBRICCReport_CDD,CDD.MSU.CicilanBRICare.CreateBRICCReport,NULL,CDD - FMA - POD-M/CDD,0,0,0,0,0,0,0,NULL,NULL,213,261
263,CDD.MSU.CicilanBRICare.FormatCPD_CDD,CDD.MSU.CicilanBRICare.FormatCPD,NULL,CDD - FMA - POD-M/CDD,0,0,0,0,0,0,0,NULL,NULL,213,263
264,CDD.MSU.CicilanBRICare.ReconcileCPDandBRICCReport_CDD,CDD.MSU.CicilanBRICare.ReconcileCPDandBRICCReport,NULL,CDD - FMA - POD-M/CDD,0,0,0,0,0,0,0,NULL,NULL,213,264
265,CDD.MSU.CicilanBRICare.TicketChecker_CDD,CDD.MSU.CicilanBRICare.TicketChecker,NULL,CDD - FMA - POD-M/CDD,0,0,0,0,0,0,0,NULL,NULL,213,265
262,CDD.MSU.CicilanBRICare.UploadBRICCReport_CDD,CDD.MSU.CicilanBRICare.UploadBRICCReport,NULL,CDD - FMA - POD-M/CDD,0,0,0,0,0,0,0,NULL,NULL,213,262
439,CDD.MSU.LOA.Checker,CDD.MSU.LoanOnApp.Checker,NULL,CDD-M/CDD-LoanOnApp,0,0,0,0,607,4,0,824,0,213,439
167,CDD.MSU.LoanOnApp,CDD.MSU.LoanOnApp,NULL,CDD-M/CDD-LoanOnApp,0,0,0,0,0,0,0,NULL,NULL,213,167
336,CDD.MSU.LoanOnApp.Signer,CDD.MSU.LoanOnApp.Signer,NULL,CDD-M/CDD-SignerApprovalLOA,0,0,0,0,499,0,0,437,83,213,336
151,CDD.MSU.LoanOnPhone,CDD.LoanOnPhone,NULL,CDD-M/CDD-LoanOnPhone,0,0,0,0,0,0,0,NULL,NULL,213,151
153,CDD.MSU.LoanOnPhone.DailyReport,CDD.MSU.LoanOnPhone.DailyReport,NULL,CDD-M/CDD-LoanOnPhone,0,0,0,0,0,0,0,NULL,NULL,213,153
168,CDD.MSU.LoanOnPhone.DailyReport,CDD.MSU.LoanOnPhone.DailyReport,NULL,CDD-M/CDD-LoanOnApp,0,0,0,0,34,0,0,26,0,213,168
236,CDD.MSU.WaivingChargesandInterestFromCollection.GetDIOandCheck,CDD.MSU.WaivingChargesandInterestFromCollection.GetDIOandCheck,NULL,CDD-M/CDD-Waiving Fee Collection,0,0,0,0,28,0,0,52,0,213,236
418,CDD.MSU.WaivingChargesandInterestFromCollection.GetDIOandCheck-BULK,CDD.MSU.WaivingChargesandInterestFromCollection.GetDIOandCheck-BULK,NULL,CDD-M/CDD-Waiving Fee Collection,0,0,0,0,33,0,0,99,0,213,418
238,CDD.MSU.WaivingChargesandInterestFromCollection.ReCheckAndAddRemark,CDD.MSU.WaivingChargesandInterestFromCollection.ReCheckAndAddRemark,NULL,CDD-M/CDD-Waiving Fee Collection,0,0,0,0,31,0,0,50,0,213,238
237,CDD.MSU.WaivingChargesandInterestFromCollection.UploadSPT,CDD.MSU.WaivingChargesandInterestFromCollection.UploadSPT,NULL,CDD-M/CDD-Waiving Fee Collection,0,0,0,0,0,23,0,162,0,213,237
186,CDD.MSU.WaivingInstallmentCancellationCall,CDD.MSU.WaivingInstallmentCancellationCall,NULL,CDD-M/CDD-MSU-Preterminated,0,0,0,0,0,0,0,NULL,NULL,213,186
227,CDD.Replace.Card.M,CDD.Replace.Card.M,NULL,CDD-Main/CDD-CloseAndReplaceCard,0,0,0,0,958,2,0,32,0,213,227
184,CDD.ReportDailyCetakKartu,CDD.ReportDailyCetakKartu,NULL,CDD-ReportDailyCetakKartu,0,0,0,0,0,0,0,NULL,NULL,213,184
198,CDD.WaivingAnnualFee,CDD.WaivingAnnualFee,NULL,CDD-M/CDD-WaivingAnnualFee,0,0,0,0,0,0,0,NULL,NULL,213,198
200,CDD.WaivingAnnualFee.DailyReport,CDD.WaivingAnnualFee.DailyReport,NULL,CDD-M/CDD-WaivingAnnualFee,0,0,0,0,0,0,0,NULL,NULL,213,200
201,CDD.WaivingAnnualFee.UploadSPT,CDD.WaivingAnnualFee.UploadSPT,NULL,CDD-M/CDD-WaivingAnnualFee,0,0,0,0,0,0,0,NULL,NULL,213,201
161,CDD_CR_Daily,CDD_CR_Daily,NULL,CDD-M/Critical Report,0,0,0,0,38,0,0,1075,23,213,161
162,CDD_CR_IntraDay,CDD_CR_IntraDay,NULL,CDD-M/Critical Report,0,0,0,0,157,0,0,1212,123,213,162
160,CDD_CR_Weekly,CDD_CR_Weekly,NULL,CDD-M/Critical Report,0,0,0,0,2,0,0,472,1,213,160
203,CDD-MSU-WaivingInstallmentCancellationCall.DailyReport,CDD-MSU-WaivingInstallmentCancellationCall.DailyReport,NULL,CDD-M/CDD-MSU-Preterminated,0,0,0,0,0,0,0,NULL,NULL,213,203
298,Change_inProgress_State_SCC,Change_inProgress_State,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,298
247,Change_inProgress_State_TRB,Change_inProgress_State,NULL,TRB-FMA-M/TRB,0,0,0,0,0,0,0,NULL,NULL,213,247
431,check,checkya,NULL,CDD-Main/CDD-CloseAndReplaceCard,0,0,0,0,0,0,0,NULL,NULL,213,431
83,Daily Process Incident Log Application,DRD.IncidentApplicationReporting.DailyProcess,NULL,DRD/Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,83
85,Daily Process Incident Log Network,DRD.IncidentNetworkReporting.DailyReport,NULL,DRD/Incident Network Reporting,0,0,0,0,0,0,0,NULL,NULL,213,85
271,Dashboard Kurs KMK,ReportEarlyWarningSistem.GetKursKMKDashboard,NULL,TRB-FMA-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,271
278,Dashboard Reversal Other Bank,DashboardReversalOtherBank,NULL,IT-OPS-M,0,0,0,0,0,0,0,NULL,NULL,213,278
346,Dashboard Voice V26,DashboardVoiceContactBRI_Windows,NULL,POD/Robot2,0,0,0,0,0,0,0,NULL,NULL,213,346
141,DDB.AssignTicketHelpdesk,DDB.AssignTicket_v2,NULL,DDB/Assign Ticket,0,0,0,0,0,0,0,NULL,NULL,213,141
39,DDB.CashoutPendingG,DDB.CashoutPendingG,NULL,DDB,0,0,0,0,0,0,0,NULL,NULL,213,39
38,DDB.EODCeria,DDB.EODCeria,NULL,DDB,0,0,0,0,0,0,0,NULL,NULL,213,38
424,DDB.HourlyMonitoringEcosystem.CBMerror,EcoOps-Bot-HourlyReport-CBM-error,NULL,DDB/Hourly Monitoring,0,0,0,0,0,0,0,NULL,NULL,213,424
164,DDB.HourlyMonitoringEcosystem2,DDB.HourlyMonitoringEcosystem2,NULL,DDB/Hourly Monitoring,0,0,0,0,0,0,0,NULL,NULL,213,164
291,DRD.ApplicationIncidentDataFeeding.DailyProcess,DRD.Archer,NULL,DRD/Archer Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,291
313,DRD.ApplicationIncidentDataFeeding.FlagingDataMerge,DRD.Archer,NULL,DRD/Archer Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,313
292,DRD.ApplicationIncidentDataFeeding.WeeklyProcessNew,DRD.Archer,NULL,DRD/Archer Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,292
